Origin;Destination;Outbound;Inbound;Price
LON;BER;2016-04-16;;80,40
LON;BER;2016-04-16;2016-04-16;130,99
LON;BER;2016-04-16;2016-04-17;186,51
LON;BER;2016-04-16;2016-04-18;109,15
LON;BER;2016-04-16;2016-04-19;107,96
LON;BER;2016-04-16;2016-04-20;99,29
LON;BER;2016-04-16;2016-04-21;38,04
LON;BER;2016-04-16;2016-04-22;69,86
LON;BER;2016-04-16;2016-04-23;82,96
LON;BER;2016-04-16;2016-04-24;146,16
LON;BER;2016-04-16;2016-04-25;68,98
LON;BER;2016-04-16;2016-04-26;62,06
LON;BER;2016-04-16;2016-04-28;62,10
LON;BER;2016-04-16;2016-04-29;54,93
LON;BER;2016-04-16;2016-04-30;82,89
LON;BER;2016-04-16;2016-05-06;72,73
LON;BER;2016-04-16;2016-05-12;76,29
LON;BER;2016-04-16;2016-05-16;123,49
LON;BER;2016-04-16;2016-05-18;95,40
LON;BER;2016-04-16;2016-07-17;82,19
LON;BER;2016-04-16;2016-07-18;76,85
LON;BER;2016-04-17;;55,28
LON;BER;2016-04-17;2016-04-17;179,95
LON;BER;2016-04-17;2016-04-18;98,20
LON;BER;2016-04-17;2016-04-19;92,25
LON;BER;2016-04-17;2016-04-20;41,33
LON;BER;2016-04-17;2016-04-21;79,39
LON;BER;2016-04-17;2016-04-22;75,71
LON;BER;2016-04-17;2016-04-23;71,63
LON;BER;2016-04-17;2016-04-24;82,05
LON;BER;2016-04-17;2016-04-26;38,18
LON;BER;2016-04-17;2016-04-27;78,86
LON;BER;2016-04-17;2016-04-29;43,14
LON;BER;2016-04-17;2016-04-30;75,53
LON;BER;2016-04-17;2016-05-01;81,53
LON;BER;2016-04-17;2016-05-02;104,40
LON;BER;2016-04-17;2016-05-08;65,45
LON;BER;2016-04-17;2016-05-15;74,40
LON;BER;2016-04-17;2016-05-27;56,41
LON;BER;2016-04-17;2016-07-30;59,61
LON;BER;2016-04-17;2016-10-18;61,10
LON;BER;2016-04-18;;55,28
LON;BER;2016-04-18;2016-04-18;56,59
LON;BER;2016-04-18;2016-04-19;71,63
LON;BER;2016-04-18;2016-04-20;72,36
LON;BER;2016-04-18;2016-04-21;74,18
LON;BER;2016-04-18;2016-04-22;75,61
LON;BER;2016-04-18;2016-04-23;74,09
LON;BER;2016-04-18;2016-04-24;74,01
LON;BER;2016-04-18;2016-04-25;74,18
LON;BER;2016-04-18;2016-04-26;52,08
LON;BER;2016-04-18;2016-04-27;44,00
